216883,R216883,11803,PH Q3 2020,8526,PIZZA  HUT,6090 STATE HIGHWAY 12,,NORWICH,NY,13815,1,108-010,6/22/2020,CHRISTINE EMARINE,UPS GROUND
216884,R216884,11803,PH Q3 2020,8525,PIZZA  HUT,710 E MAIN ST,,ONEONTA,NY,13820,1,108-010,6/22/2020,CHRISTINE EMARINE,UPS GROUND
216885,R216885,11803,PH Q3 2020,9041,PIZZA  HUT,2 MANG DR,,SIDNEY,NY,13838,1,108-010,6/22/2020,CHRISTINE EMARINE,UPS GROUND
216886,R216886,11803,PH Q3 2020,11621,PIZZA  HUT,104 LIBERTY ST,,PENN YAN,NY,14527,1,108-010,6/22/2020,CHRISTINE EMARINE,UPS GROUND
216887,R216887,11803,PH Q3 2020,11594,PIZZA  HUT,1960 EMPIRE BLVD,,WEBSTER,NY,14580,1,108-010,6/22/2020,CHRISTINE EMARINE,UPS GROUND
216888,R216888,11803,PH Q3 2020,11613,PIZZA  HUT,3920 DEWEY AVE,,ROCHESTER,NY,14616,1,108-010,6/22/2020,CHRISTINE EMARINE,UPS GROUND
216889,R216889,11803,PH Q3 2020,12480,PIZZA  HUT,995 FAIRMOUNT AVE,,JAMESTOWN,NY,14701,1,108-010,6/22/2020,CHRISTINE EMARINE,UPS GROUND
216890,R216890,11803,PH Q3 2020,24007,PIZZA  HUT,285 JOHNSON AVE,,BADEN,PA,15005,1,108-010,6/22/2020,CHRISTINE EMARINE,UPS GROUND
216891,R216891,11803,PH Q3 2020,23989,PIZZA  HUT,50 SARA WAY,,BELLE VERNON,PA,15012,1,108-010,6/22/2020,CHRISTINE EMARINE,UPS GROUND
216892,R216892,11803,PH Q3 2020,23984,PIZZA  HUT,3036 FREEPORT RD,,NATRONA HEIGHTS,PA,15065,1,108-010,6/22/2020,CHRISTINE EMARINE,UPS GROUND
216893,R216893,11803,PH Q3 2020,24008,PIZZA  HUT,101 CAVASINA DR,,CANONSBURG,PA,15317,1,108-010,6/22/2020,CHRISTINE EMARINE,UPS GROUND
216894,R216894,11803,PH Q3 2020,24004,PIZZA  HUT,1445 E HIGH ST,,WAYNESBURG,PA,15370,1,108-010,6/22/2020,CHRISTINE EMARINE,UPS GROUND
216895,R216895,11803,PH Q3 2020,23983,PIZZA  HUT,9253 ROUTE 30,,IRWIN,PA,15642,1,108-010,6/22/2020,CHRISTINE EMARINE,UPS GROUND
216896,R216896,11803,PH Q3 2020,23996,PIZZA  HUT,510 HYDE PARK RD,,LEECHBURG,PA,15656,1,108-010,6/22/2020,CHRISTINE EMARINE,UPS GROUND
216897,R216897,11803,PH Q3 2020,22337,PIZZA  HUT,21866 ROUTE 119,,PUNXSUTAWNEY,PA,15767,1,108-010,6/22/2020,CHRISTINE EMARINE,UPS GROUND
216898,R216898,11803,PH Q3 2020,25402,PIZZA  HUT,1566 BEE LINE HWY,,DU BOIS,PA,15801,1,108-010,6/22/2020,CHRISTINE EMARINE,UPS GROUND
