SHIP TO NAME	STORE NUMBER	CONCEPT CODE	ADDRESS 1	ADDRESS 2	CITY	STATE	ZIP	TAX AREA CODE	TAX EXPLANATION CODE
WIENERSCHNITZEL #562	562	WSZ	2011 E WASHINGTON ST		COLTON	CA	92324	CA10	S
WIENERSCHNITZEL #003	3	WSZ	1300 E ROSECRANS AVE		COMPTON	CA	90221	CA26	S
WIENERSCHNITZEL #75	75	WSZ	315 N MAIN ST		CORONA	CA	92880	CA10	S
WIENERSCHNITZEL #048	48	WSZ	1951 HARBOR BLVD		COSTA MESA	CA	92627	CA10	S
WIENERSCHNITZEL #316	316	WSZ	1212 N AZUSA AVE		COVINA	CA	91722	CA26	S
WIENERSCHNITZEL #530	530	WSZ	10985 MERIDIAN DR		CYPRESS	CA	90630	CA10	S
WIENERSCHNITZEL #0415	415	WSZ	23300 SUNSET CROSSING RD		DIAMOND BAR	CA	91765	CA25	S
WIENERSCHNITZEL #228	228	WSZ	1002 S ATLANTIC BLVD		EAST LOS ANGELES	CA	90022	CA25	S
WIENERSCHNITZEL #475	475	WSZ	1281 E MAIN ST		EL CAJON	CA	92021	CA12	S
WIENERSCHNITZEL #771	771	WSZ	1601 N MAGNOLIA AVE		EL CAJON	CA	92020	CA12	S
HAMBURGER STAND #385	385	WSZ	825 S IMPERIAL AVE		EL CENTRO	CA	92243	CA12	S
WIENERSCHNITZEL #0123	123	WSZ	11101 SAN PABLO AVE		EL CERRITO	CA	94530	CA21	S
WIENERSCHNITZEL #222	222	WSZ	10939 GARVEY AVE		EL MONTE	CA	91733	CA27	S
WIENERSCHNITZEL #051	51	WSZ	960 E VALLEY PKWY		ESCONDIDO	CA	92025	CA10	S
WIENERSCHNITZEL #296	296	WSZ	10056 SIERRA AVE		FONTANA	CA	92335	CA10	S
WIENERSCHNITZEL #668	668	WSZ	14524 BASELINE AVE		FONTANA	CA	92336	CA10	S
WIENERSCHNITZEL #241	241	WSZ	37119 FREMONT BLVD		FREMONT	CA	94536	CA23	S
WIENERSCHNITZEL #345	345	WSZ	34480 FREMONT BLVD		FREMONT	CA	94555	CA23	S
WIENERSCHNITZEL #0185	185	WSZ	4631 N BLACKSTONE AVE		FRESNO	CA	93726	CA16	S
WIENERSCHNITZEL #372	372	WSZ	120 S CLOVIS AVE		FRESNO	CA	93727	CA16	S
WIENERSCHNITZEL #548	548	WSZ	4398 W SHAW AVE		FRESNO	CA	93722	CA16	S
WIENERSCHNITZEL #319	319	WSZ	265 W ORANGETHORPE AVE		FULLERTON	CA	92832	CA10	S
WIENERSCHNITZEL #015	15	WSZ	13852 HARBOR BLVD		GARDEN GROVE	CA	92843	CA15	S
WIENERSCHNITZEL #125	125	WSZ	10192 GARDEN GROVE BLVD		GARDEN GROVE	CA	92843	CA15	S
WIENERSCHNITZEL #0629	629	WSZ	711 1ST ST		GILROY	CA	95020	CA20	S
WIENERSCHNITZEL #007	7	WSZ	649 W ARROW HWY		GLENDORA	CA	91740	CA26	S
WIENERSCHNITZEL #024	24	WSZ	509 W. ROUTE 66		GLENDORA	CA	91740	CA26	S
WIENERSCHNITZEL #360	360	WSZ	807 W LACEY BLVD		HANFORD	CA	93230	CA06	S
WIENERSCHNITZEL #057	57	WSZ	12056 CARSON ST		HAWAIIAN GARDENS	CA	90716	CA26	S
WIENERSCHNITZEL #672	672	WSZ	1010 A ST		HAYWARD	CA	94541	CA21	S
WIENERSCHNITZEL #554	554	WSZ	3513 W FLORIDA AVE		HEMET	CA	92545	CA15	S
WIENERSCHNITZEL #558	558	WSZ	15555 MAIN ST STE E		HESPERIA	CA	92345	CA15	S
WIENERSCHNITZEL #801	801	WSZ	2565 HIGHLAND AVE		HIGHLAND	CA	92346	CA28	S
WIENERSCHNITZEL #239	239	WSZ	18012 BEACH BLVD		HUNTINGTON BEACH	CA	92648	CA10	S
WIENERSCHNITZEL #283	283	WSZ	19101 BROOKHURST ST		HUNTINGTON BEACH	CA	92646	CA10	S
WIENERSCHNITZEL #0351	351	WSZ	5966 WARNER AVE		HUNTINGTON BEACH	CA	92649	CA10	S
WIENERSCHNITZEL #358	358	WSZ	1255 PALM AVE		IMPERIAL BEACH	CA	91932	CA10	S
WIENERSCHNITZEL #047	47	WSZ	82-608 US HIGHWAY 111		INDIO	CA	92201	CA15	S
WIENERSCHNITZEL #877	877	WSZ	3104 W CENTURY BLVD		INGLEWOOD	CA	90303	CA27	S
WIENERSCHNITZEL #452	452	WSZ	14705 JEFFREY RD		IRVINE	CA	92618	CA10	S
WIENERSCHNITZEL #069	69	WSZ	3140 FOOTHILL BLVD		LA CRESCENTA	CA	91214	CA25	S
WIENERSCHNITZEL #533	533	WSZ	1120 E IMPERIAL HWY		LA HABRA	CA	90631	CA12	S
WIENERSCHNITZEL #058	58	WSZ	6949 UNIVERSITY AVE		LA MESA	CA	91941	CA17	S
