SHIP TO NAME	STORE NUMBER	CONCEPT CODE	ADDRESS 1	ADDRESS 2	CITY	STATE	ZIP	TAX AREA CODE	TAX EXPLANATION CODE
HAMBURGER STAND #431	431	WSZ	8680 N WASHINGTON ST		THORNTON	CO	80229	CO05	S
HAMBURGER STAND #427	427	WSZ	3030 W 72ND AVE		WESTMINSTER	CO	80030	CO05	S
WIENERSCHNITZEL #221	221	WSZ	2102 W SPRINGFIELD AVE		CHAMPAIGN	IL	61821	IL01	S
WIENERSCHNITZEL #186	186	WSZ	2948 HIGHLAND RD		BATON ROUGE	LA	70802	000	S
WIENERSCHNITZEL #367	367	WSZ	6300 SAN MATEO BLVD NE		ALBUQUERQUE	NM	87109	000	S
WIENERSCHNITZEL #456	456	WSZ	110 JUAN TABO BLVD NE		ALBUQUERQUE	NM	87123	000	S
WIENERSCHNITZEL #521	521	WSZ	9651 MENAUL BLVD NE		ALBUQUERQUE	NM	87112	000	S
WIENERSCHNITZEL #523	523	WSZ	2929 CARLISLE BLVD NE		ALBUQUERQUE	NM	87110	000	S
WIENERSCHNITZEL #841	841	WSZ	2551 CORONA DR NW		ALBUQUERQUE	NM	87120	000	S
WIENERSCHNITZEL #203	203	WSZ	1220 N MAIN ST		CLOVIS	NM	88101	000	S
WIENERSCHNITZEL #146	146	WSZ	1321 N TURNER ST		HOBBS	NM	88240	000	S
WIENERSCHNITZEL #247	247	WSZ	1028 EL PASEO RD		LAS CRUCES	NM	88001	000	S
WIENERSCHNITZEL #812	812	WSZ	2800 N MAIN ST		LAS CRUCES	NM	88001	000	S
WIENERSCHNITZEL#833	833	WSZ	1433 MAIN ST SW		LOS LUNAS	NM	87031	000	S
WIENERSCHNITZEL #717	717	WSZ	247 N MAIN ST		ROSWELL	NM	88201	000	S
WIENERSCHNITZEL #577	577	WSZ	2575 WINDMILL PKWY		HENDERSON	NV	89074	NV08	S
WIENERSCHNITZEL #441	441	WSZ	4470 E CHARLESTON BLVD		LAS VEGAS	NV	89104	NV08	S
WIENERSCHNITZEL #495	495	WSZ	1760 S RAINBOW BLVD		LAS VEGAS	NV	89146	NV08	S
WIENERSCHNITZEL #583	583	WSZ	2071 ROCK SPRINGS DR		LAS VEGAS	NV	89128	NV08	S
WIENERSCHNITZEL #718	718	WSZ	3201 N RANCHO DR		LAS VEGAS	NV	89130	NV08	S
WIENERSCHNITZEL #739	739	WSZ	4680 E FLAMINGO RD		LAS VEGAS	NV	89121	NV08	S
WIENERSCHNITZEL #751	751	WSZ	6075 S RAINBOW BLVD		LAS VEGAS	NV	89118	NV08	S
WIENERSCHNITZEL #777	777	WSZ	2060 E SERENE AVE STE 100		LAS VEGAS	NV	89123	NV08	S
WIENERSCHNITZEL #856	856	WSZ	611 W SAHARA AVE		LAS VEGAS	NV	89109	NV08	S
WIENERSCHNITZEL #612	612	WSZ	2090 MILL ST		RENO	NV	89502	NV05	S
WIENERSCHNITZEL #0700	700	WSZ	390 N MCCARRAN BLVD		SPARKS	NV	89431	NV05	S
WIENERSCHNITZEL #586	586	WSZ	2997 S 14TH ST		ABILENE	TX	79605	TX04	S
WIENERSCHNITZEL #624	624	WSZ	415 E BETHANY DR		ALLEN	TX	75002	TX04	S
WIENERSCHNITZEL #192	192	WSZ	2801 S WESTERN ST		AMARILLO	TX	79109	TX04	S
WIENERSCHNITZEL #303	303	WSZ	600 E AMARILLO BLVD		AMARILLO	TX	79107	TX04	S
WIENERSCHNITZEL #328	328	WSZ	4431 BELL ST		AMARILLO	TX	79109	TX04	S
WIENERSCHNITZEL #396	396	WSZ	1507 ROSS ST		AMARILLO	TX	79102	TX04	S
WIENERSCHNITZEL #816	816	WSZ	2512 W BRAKER LN		AUSTIN	TX	78758	TX04	S
WIENERSCHNITZEL #720	720	WSZ	6050 FOLSOM DR		BEAUMONT	TX	77706	TX04	S
WIENERSCHNITZEL #255	255	WSZ	501 S TEXAS AVE		BRYAN	TX	77803	TX04	S
WIENERSCHNITZEL #194	194	WSZ	2401 AYERS ST		CORPUS CHRISTI	TX	78404	TX04	S
WIENERSCHNITZEL #224	224	WSZ	3555 S PADRE ISLAND DR		CORPUS CHRISTI	TX	78415	TX04	S
WIENERSCHNITZEL #584	584	WSZ	5861 S STAPLES ST		CORPUS CHRISTI	TX	78413	TX04	S
WIENERSCHNITZEL #594	594	WSZ	4001 HIGHWAY 77		CORPUS CHRISTI	TX	78410	TX04	S
WIENERSCHNITZEL #714	714	WSZ	4221 S ALAMEDA ST		CORPUS CHRISTI	TX	78412	TX04	S
WIENERSCHNITZEL #109	109	WSZ	1401 AIRWAY BLVD		EL PASO	TX	79925	TX04	S
WIENERSCHNITZEL #364	364	WSZ	1200 N YARBROUGH DR		EL PASO	TX	79925	TX04	S
WIENERSCHNITZEL #365	365	WSZ	7000 N MESA ST		EL PASO	TX	79912	TX04	S
WIENERSCHNITZEL #389	389	WSZ	10008 DYER ST		EL PASO	TX	79924	TX04	S
WIENERSCHNITZEL #432	432	WSZ	1899 N LEE TREVINO DR		EL PASO	TX	79936	TX04	S
WIENERSCHNITZEL #773	773	WSZ	1441 N ZARAGOZA RD BLDG F		EL PASO	TX	79936	TX04	S
WIENERSCHNITZEL #828	828	WSZ	12110 MONTANA AVE		EL PASO	TX	79938	TX04	S
WIENERSCHNITZEL #843	843	WSZ	1885 FABENS RD.		FABENS	TX	79838	TX01	S
WIENERSCHNITZEL #0639	639	WSZ	2614 WEST I-20		GRAND PRAIRIE	TX	75052	TX04	S
WIENERSCHNITZEL #102	102	WSZ	1202 50TH ST		LUBBOCK	TX	79412	TX04	S
WIENERSCHNITZEL #405	405	WSZ	7102 QUAKER AVE		LUBBOCK	TX	79424	TX04	S
WIENERSCHNITZEL #428	428	WSZ	301 UNIVERSITY AVE		LUBBOCK	TX	79415	TX04	S
WIENERSCHNITZEL #729	729	WSZ	7615 B UNIVERSITY AVE		LUBBOCK	TX	79423	TX04	S
WIENERSCHNITZEL #785	785	WSZ	6319 82ND ST		LUBBOCK	TX	79404	TX04	S
WIENERSCHNITZEL #857	857	WSZ	5510 4TH ST	STE 300	LUBBOCK	TX	79416	TX04	S
WIENERSCHNITZEL#870	870	WSZ	101 N BRENTWOOD		LUFKIN	TX	75904	TX04	S
WIENERSCHNITZEL #628	628	WSZ	1904 OATES DR		MESQUITE	TX	75150	TX04	S
WIENERSCHNITZEL #835	835	WSZ	5309 W LOOP 250 N		MIDLAND	TX	79707	TX05	S
WIENERSCHNITZEL#869	869	WSZ	3620 NEDERLAND AVE		NEDERLAND	TX	77627	TX04	S
WIENERSCHNITZEL #784	784	WSZ	4404 TANGLEWOOD LN		ODESSA	TX	79762	TX04	S
WIENERSCHNITZEL #152	152	WSZ	2420 MACARTHUR DR		ORANGE	TX	77630	TX05	S
WIENERSCHNITZEL #208	208	WSZ	3205 SHERWOOD WAY		SAN ANGELO	TX	76901	TX04	S
WIENERSCHNITZEL #615	615	WSZ	1809 S BRYANT BLVD		SAN ANGELO	TX	76903	TX04	S
WIENERSCHNITZEL #633	633	WSZ	8530 PERRIN BEITEL RD		SAN ANTONIO	TX	78217	TX04	S
WIENERSCHNITZEL #687	687	WSZ	1071 WONDER WORLD DR		SAN MARCOS	TX	78666	TX04	S
WIENERSCHNITZEL #119	119	WSZ	1218 E RIO GRANDE ST		VICTORIA	TX	77901	TX04	S
WIENERSCHNITZEL #595	595	WSZ	3602 JOHN STOCKBAUER DR		VICTORIA	TX	77904	TX04	S
WIENERSCHNITZEL #746	746	WSZ	450 N HARRISVILLE RD		HARRISVILLE	UT	84404	UT11	S
WIENERSCHNITZEL #712	712	WSZ	7063 S 900 E		MIDVALE	UT	84047	UT11	S
WIENERSCHNITZEL #298	298	WSZ	314 N STATE ST		OREM	UT	84057	UT11	S
WIENERSCHNITZEL #143	143	WSZ	805 W NORTH TEMPLE		SALT LAKE CITY	UT	84116	UT12	S
WIENERSCHNITZEL #753	753	WSZ	1405 SOUTH 300 WEST		SALT LAKE CITY	UT	84115	UT12	S
WIENERSCHNITZEL #459	459	WSZ	7780 S REDWOOD RD		WEST JORDAN	UT	84084	UT11	S
WIENERSCHNITZEL #297	297	WSZ	3145 WEST 3500 SOUTH		WEST VALLEY CITY	UT	84119	UT11	S
MADISON TASTEE FREEZ	MADI	WSZ	2741 S SEMINOLE TRL		MADISON	VA	22727	VA01	S
WIENERSCHNITZEL #256	256	WSZ	5905 EVERGREEN WAY		EVERETT	WA	98203	WA33	S
HAMBURGER STAND #451	451	WSZ	3930 E 2ND ST		CASPER	WY	82609	000	S
