Outlet SAP BP ID	Send to Supplier	COF #	Store Number	Ship To Name	Address 1	Address 2	City	State	Zip	Order Qty	Part Number	Pre-Filter	Combo Filter 	Ice Only Filter	Req'd Ship Date	Carrier	 Tracking #	Returns with a reason code	Customer Number	PO Number	Ordered By	Shipping Vendor	Shipping Method
10150495	44154	437199	80	WIENERSCHNITZEL #080	101 N STATE COLLEGE BLVD		ANAHEIM	CA	92806	1	108-020NS		108-020NS		12/29/2020								
10151504	44154	476520	82	HAMBURGER STAND #82	3100 S BROADWAY		ENGLEWOOD	CO	80113	1	108-020NS		108-020NS	108-014-S	12/29/2020								
10151504	44154	476520	82	HAMBURGER STAND #82	3100 S BROADWAY		ENGLEWOOD	CO	80113	1	108-014-S				12/29/2020								
10150902	44154	2654917	85	WIENERSCHNITZEL #85	3328 FIRESTONE BLVD		SOUTH GATE	CA	90280	1	108-020NS		108-020NS		12/29/2020								
10150755	44154	393635	86	WIENERSCHNITZEL #086	1825 HIGHLAND AVE		NATIONAL CITY	CA	91950	1	108-020NS		108-020NS		12/29/2020								
10150943	44154	401399	89	WIENERSCHNITZEL #089	601 W AVENUE J		LANCASTER	CA	93534	1	108-020NS		108-020NS		12/29/2020								
10150323	44154	9602037	90	WIENERSCHNITZEL #090	4714 W SLAUSON AVE		LOS ANGELES	CA	90056	1	108-020NS		108-020NS		12/29/2020								
10151757	44154	496149	102	WIENERSCHNITZEL #102	1202 50TH ST		LUBBOCK	TX	79412	1	108-020NS	108-231	108-020NS		12/29/2020								
10151757	44154	496149	102	WIENERSCHNITZEL #102	1202 50TH ST		LUBBOCK	TX	79412	1	108-231				12/29/2020								
10150918	44154	2662946	107	WIENERSCHNITZEL #107	1130 UNION AVE		BAKERSFIELD	CA	93307	1	108-020NS		108-020NS		12/29/2020								
10150925	44154	2667661	108	WIENERSCHNITZEL #108	2569 W BALL RD		ANAHEIM	CA	92804	1	108-020NS		108-020NS		12/29/2020								
10151702	44154	3400272	109	WIENERSCHNITZEL #109	1401 AIRWAY BLVD		EL PASO	TX	79925	1	108-020NS	108-231	108-020NS		12/29/2020								
10151702	44154	3400272	109	WIENERSCHNITZEL #109	1401 AIRWAY BLVD		EL PASO	TX	79925	1	108-231				12/29/2020								
10150335	44154	437055	112	WIENERSCHNITZEL #112	2501 W BEVERLY BLVD		MONTEBELLO	CA	90640	1	108-020NS		108-020NS		12/29/2020								
10150735	44154	3683466	114	WIENERSCHNITZEL #114	3619 W OLYMPIC BLVD		LOS ANGELES	CA	90019	1	108-020NS		108-020NS		12/29/2020								
10151703	44154	6036501	119	WIENERSCHNITZEL #119	1218 E RIO GRANDE ST		VICTORIA	TX	77901	1	108-020NS	108-231	108-020NS		12/29/2020								
10151703	44154	6036501	119	WIENERSCHNITZEL #119	1218 E RIO GRANDE ST		VICTORIA	TX	77901	1	108-231				12/29/2020								
10150782	44154	386924	122	WIENERSCHNITZEL #122	702 N 4TH ST		SAN JOSE	CA	95112	1	108-020NS		108-020NS		12/29/2020								
10150346	44154	354070	123	WIENERSCHNITZEL #0123	11101 SAN PABLO AVE		EL CERRITO	CA	94530	1	108-020NS		108-020NS	108-014-S	12/29/2020								
10150346	44154	354070	123	WIENERSCHNITZEL #0123	11101 SAN PABLO AVE		EL CERRITO	CA	94530	1	108-014-S				12/29/2020								
10150347	44154	437043	124	WIENERSCHNITZEL #124	3789 CRENSHAW BLVD		LOS ANGELES	CA	90016	1	108-020NS		108-020NS		12/29/2020								
10150660	44154	431289	125	WIENERSCHNITZEL #125	10192 GARDEN GROVE BLVD		GARDEN GROVE	CA	92843	1	108-020NS		108-020NS		12/29/2020								
10151107	44154	2689081	129	WIENERSCHNITZEL #129	902 E SANTA CLARA ST		SAN JOSE	CA	95116	1	108-020NS		108-020NS		12/29/2020								
10151283	44154	5706880	131	WIENERSCHNITZEL #0131	845 EL CAMINO AVE		SACRAMENTO	CA	95815	1	108-020NS		108-020NS		12/29/2020								
10150361	44154	437054	133	WIENERSCHNITZEL#133	2301 W VALLEY BLVD		ALHAMBRA	CA	91803	1	108-020		108-020		12/29/2020								
10150363	44154	2673631	134	WIENERSCHNITZEL #134	935 S 1ST ST		SAN JOSE	CA	95110	1	108-020NS		108-020NS		12/29/2020								
10151232	44154	7387501	140	WIENERSCHNITZEL #140	5644 WATT AVE		NORTH HIGHLANDS	CA	95660	1	108-020NS		108-020NS		12/29/2020								
10151849	44154	2870188	143	WIENERSCHNITZEL #143	805 W NORTH TEMPLE		SALT LAKE CITY	UT	84116	1	108-020NS		108-020NS		12/29/2020								
10150854	44154	3717410	144	WIENERSCHNITZEL #144	7434 GARVEY AVE		ROSEMEAD	CA	91770	1	108-020NS		108-020NS		12/29/2020								
10150187	44154	7422763	145	WIENERSCHNITZEL #145	3460 N ORACLE RD		TUCSON	AZ	85705	1	108-020NS		108-020NS		12/29/2020								
10151664	44154	2854467	146	WIENERSCHNITZEL #146	1321 N TURNER ST		HOBBS	NM	88240	1	108-020NS	108-231	108-020NS		12/29/2020								
10151664	44154	2854467	146	WIENERSCHNITZEL #146	1321 N TURNER ST		HOBBS	NM	88240	1	108-231				12/29/2020								
10150497	44154	3798549	150	WIENERSCHNITZEL #150	101 W WILLOW ST		LONG BEACH	CA	90806	1	108-020NS		108-020NS		12/29/2020								
10151704	44154	619646	152	WIENERSCHNITZEL #152	2420 MACARTHUR DR		ORANGE	TX	77630	1	108-014		108-014	108-014-S	12/29/2020								
10151704	44154	619646	152	WIENERSCHNITZEL #152	2420 MACARTHUR DR		ORANGE	TX	77630	1	108-014-S				12/29/2020								
10150771	44154	393634	153	WIENERSCHNITZEL #153	4393 CONVOY ST		SAN DIEGO	CA	92111	1	108-020		108-020	108-014-S	12/29/2020								
10150771	44154	393634	153	WIENERSCHNITZEL #153	4393 CONVOY ST		SAN DIEGO	CA	92111	1	108-014-S				12/29/2020								
10150370	44154	369116	154	WIENERSCHNITZEL #154	5100 AUBURN BLVD		SACRAMENTO	CA	95841	1	108-020NS		108-020NS		12/29/2020								
10150499	44154	360656	156	WIENERSCHNITZEL #156	2844 STORY RD		SAN JOSE	CA	95127	1	108-020NS		108-020NS		12/29/2020								
10151513	44154	476550	167	HAMBURGER STAND #167	1205 FEDERAL BLVD		DENVER	CO	80204	1	108-020NS		108-020NS		12/29/2020								
10151151	44154	5188701	170	WIENERSCHNITZEL #0170	1940 S BASCOM AVE		CAMPBELL	CA	95008	1	108-020NS		108-020NS		12/29/2020								
10151550	44154	471037	171	WIENERSCHNITZEL #171	2550 NORTH AVE		GRAND JUNCTION	CO	81501	1	108-020NS		108-020NS	108-014-S	12/29/2020								
10151550	44154	471037	171	WIENERSCHNITZEL #171	2550 NORTH AVE		GRAND JUNCTION	CO	81501	1	108-014-S				12/29/2020								
10150546	44154	437321	177	WIENERSCHNITZEL #177	13872 GOLDENWEST ST		WESTMINSTER	CA	92683	1	108-020NS		108-020NS		12/29/2020								
10151525	44154	3735963	179	HAMBURGER STAND #179	1495 HOLLAND ST		LAKEWOOD	CO	80215	1	108-020NS		108-020NS		12/29/2020								
10151434	44154	7117896	181	WIENERSCHNITZEL #181	204 MCHENRY AVE		MODESTO	CA	95354	1	108-020NS		108-020NS		12/29/2020								
10150952	44154	2684234	183	WIENERSCHNITZEL #183	2931 NILES ST		BAKERSFIELD	CA	93306	1	108-020NS		108-020NS		12/29/2020								
10151004	44154	5152692	184	WIENERSCHNITZEL #184	2401 BRUNDAGE LN		BAKERSFIELD	CA	93304	1	108-020NS		108-020NS		12/29/2020								
10151156	44154	5190625	185	WIENERSCHNITZEL #0185	4631 N BLACKSTONE AVE		FRESNO	CA	93726	1	108-020NS		108-020NS		12/29/2020								
10151579	44154	9404440	186	WIENERSCHNITZEL #186	2948 HIGHLAND RD		BATON ROUGE	LA	70802	1	108-020NS	108-231	108-020NS	108-014-S	12/29/2020								
10151579	44154	9404440	186	WIENERSCHNITZEL #186	2948 HIGHLAND RD		BATON ROUGE	LA	70802	1	108-231				12/29/2020								
10151579	44154	9404440	186	WIENERSCHNITZEL #186	2948 HIGHLAND RD		BATON ROUGE	LA	70802	1	108-014-S				12/29/2020								
10151744	44154	490490	192	WIENERSCHNITZEL #192	2801 S WESTERN ST		AMARILLO	TX	79109	1	108-020NS	108-231	108-020NS		12/29/2020								
10151744	44154	490490	192	WIENERSCHNITZEL #192	2801 S WESTERN ST		AMARILLO	TX	79109	1	108-231				12/29/2020								
10151108	44154	7734490	193	WIENERSCHNITZEL #193	711 E ALISAL ST		SALINAS	CA	93905	1	108-020NS		108-020NS		12/29/2020								
10151720	44154	1945862	194	WIENERSCHNITZEL #194	2401 AYERS ST		CORPUS CHRISTI	TX	78404	1	108-020NS	108-231	108-020NS		12/29/2020								
10151720	44154	1945862	194	WIENERSCHNITZEL #194	2401 AYERS ST		CORPUS CHRISTI	TX	78404	1	108-231				12/29/2020								
10151076	44154	5170310	200	WIENERSCHNITZEL #200	20925 SHERMAN WAY		CANOGA PARK	CA	91303	1	108-020NS		108-020NS		12/29/2020								
10151652	44154	497094	203	WIENERSCHNITZEL #203	1220 N MAIN ST		CLOVIS	NM	88101	1	108-014		108-014		12/29/2020								
10150868	44154	423534	204	WIENERSCHNITZEL #204	5135 LAUREL CANYON BLVD		NORTH HOLLYWOOD	CA	91607	1	108-020NS		108-020NS		12/29/2020								
10151721	44154	3723774	208	WIENERSCHNITZEL #208	3205 SHERWOOD WAY		SAN ANGELO	TX	76901	1	108-020NS	108-231	108-020NS		12/29/2020								
10151721	44154	3723774	208	WIENERSCHNITZEL #208	3205 SHERWOOD WAY		SAN ANGELO	TX	76901	1	108-231				12/29/2020								
10151577	44154	6070358	221	WIENERSCHNITZEL #221	2102 W SPRINGFIELD AVE		CHAMPAIGN	IL	61821	1	108-020NS		108-020NS		12/29/2020								
10150674	44154	2655877	222	WIENERSCHNITZEL #222	10939 GARVEY AVE		EL MONTE	CA	91733	1	108-020NS		108-020NS		12/29/2020								
10151722	44154	1945864	224	WIENERSCHNITZEL #224	3555 S PADRE ISLAND DR		CORPUS CHRISTI	TX	78415	1	108-020NS	108-231	108-020NS		12/29/2020								
10151722	44154	1945864	224	WIENERSCHNITZEL #224	3555 S PADRE ISLAND DR		CORPUS CHRISTI	TX	78415	1	108-231				12/29/2020								
10150916	44154	3692070	228	WIENERSCHNITZEL #228	1002 S ATLANTIC BLVD		EAST LOS ANGELES	CA	90022	1	108-020NS		108-020NS		12/29/2020								
10150521	44154	5168275	239	WIENERSCHNITZEL #239	18012 BEACH BLVD		HUNTINGTON BEACH	CA	92648	1	108-020NS		108-020NS		12/29/2020								
10150904	44154	2661032	241	WIENERSCHNITZEL #241	37119 FREMONT BLVD		FREMONT	CA	94536	1	108-020NS		108-020NS		12/29/2020								
10151682	44154	7425850	247	WIENERSCHNITZEL #247	1028 EL PASEO RD		LAS CRUCES	NM	88001	1	108-020NS		108-020NS	108-014-S	12/29/2020								
10151682	44154	7425850	247	WIENERSCHNITZEL #247	1028 EL PASEO RD		LAS CRUCES	NM	88001	1	108-014-S				12/29/2020								
10151815	44154	5370294	255	WIENERSCHNITZEL #255	501 S TEXAS AVE		BRYAN	TX	77803	1	108-020NS	108-231	108-020NS		12/29/2020								
10151815	44154	5370294	255	WIENERSCHNITZEL #255	501 S TEXAS AVE		BRYAN	TX	77803	1	108-231				12/29/2020								
10151879	44154	1647735	256	WIENERSCHNITZEL #256	5905 EVERGREEN WAY		EVERETT	WA	98203	1	108-020NS		108-020NS		12/29/2020								
10150686	44154	373103	263	WIENERSCHNITZEL #263	2737 ARDEN WAY		SACRAMENTO	CA	95825	1	108-020NS		108-020NS		12/29/2020								
10150877	44154	2254173	264	WIENERSCHNITZEL #264	220 S CHEROKEE LN		LODI	CA	95240	1	108-020NS		108-020NS		12/29/2020								
10150372	44154	403459	266	WIENERSCHNITZEL #266	500 E MAIN ST		SANTA MARIA	CA	93454	1	108-020NS		108-020NS		12/29/2020								
10150374	44154	388371	267	WIENERSCHNITZEL #267	323 S LIVERMORE AVE		LIVERMORE	CA	94550	1	108-020NS		108-020NS	108-014-S	12/29/2020								
10150374	44154	388371	267	WIENERSCHNITZEL #267	323 S LIVERMORE AVE		LIVERMORE	CA	94550	1	108-014-S				12/29/2020								
10150891	44154	2652959	269	WIENERSCHNITZEL #269	11615 SOUTH ST		ARTESIA	CA	90701	1	108-020NS		108-020NS		12/29/2020								
10150136	44154	7420815	273	WIENERSCHNITZEL #273	1481 S ALVERNON WAY		TUCSON	AZ	85711	1	108-020NS		108-020NS	108-014-S	12/29/2020								
10150136	44154	7420815	273	WIENERSCHNITZEL #273	1481 S ALVERNON WAY		TUCSON	AZ	85711	1	108-014-S				12/29/2020								
10150185	44154	7422692	274	WIENERSCHNITZEL #274	1401 S KOLB RD		TUCSON	AZ	85710	1	108-020NS		108-020NS	108-014-S	12/29/2020								
10150185	44154	7422692	274	WIENERSCHNITZEL #274	1401 S KOLB RD		TUCSON	AZ	85710	1	108-014-S				12/29/2020								
10150623	44154	7391721	276	WIENERSCHNITZEL #276	6131 LINCOLN AVE		BUENA PARK	CA	90620	1	108-020NS		108-020NS		12/29/2020								
10150386	44154	366786	279	WIENERSCHNITZEL #279	1346 S MAIN ST		SALINAS	CA	93901	1	108-020NS		108-020NS	108-014-S	12/29/2020								
10150386	44154	366786	279	WIENERSCHNITZEL #279	1346 S MAIN ST		SALINAS	CA	93901	1	108-014-S				12/29/2020								
10150388	44154	437051	283	WIENERSCHNITZEL #283	19101 BROOKHURST ST		HUNTINGTON BEACH	CA	92646	1	108-020NS		108-020NS	108-014-S	12/29/2020								
10150388	44154	437051	283	WIENERSCHNITZEL #283	19101 BROOKHURST ST		HUNTINGTON BEACH	CA	92646	1	108-014-S				12/29/2020								
10150486	44154	364022	287	WIENERSCHNITZEL #287	105 EL CAMINO REAL		TUSTIN	CA	92780	1	108-020NS		108-020NS	108-014-S	12/29/2020								
10150486	44154	364022	287	WIENERSCHNITZEL #287	105 EL CAMINO REAL		TUSTIN	CA	92780	1	108-014-S				12/29/2020								
10150549	44154	428841	293	WIENERSCHNITZEL #293	1888 N TUSTIN ST		ORANGE	CA	92865	1	108-020NS		108-020NS		12/29/2020								
10150900	44154	2654387	296	WIENERSCHNITZEL #296	10056 SIERRA AVE		FONTANA	CA	92335	1	108-020NS		108-020NS	108-014-S	12/29/2020								
10150900	44154	2654387	296	WIENERSCHNITZEL #296	10056 SIERRA AVE		FONTANA	CA	92335	1	108-014-S				12/29/2020								
10151860	44154	502303	297	WIENERSCHNITZEL #297	3145 WEST 3500 SOUTH		WEST VALLEY CITY	UT	84119	1	108-020NS		108-020NS		12/29/2020								
10151847	44154	6087000	298	WIENERSCHNITZEL #298	314 N STATE ST		OREM	UT	84057	1	108-020NS		108-020NS		12/29/2020								
10151325	44154	5710346	300	WIENERSCHNITZEL #300	5441 SUNRISE BLVD		CITRUS HEIGHTS	CA	95610	1	108-020NS		108-020NS		12/29/2020								
10151774	44154	2875016	303	WIENERSCHNITZEL #303	600 E AMARILLO BLVD		AMARILLO	TX	79107	1	108-020NS	108-231	108-020NS		12/29/2020								
10151774	44154	2875016	303	WIENERSCHNITZEL #303	600 E AMARILLO BLVD		AMARILLO	TX	79107	1	108-231				12/29/2020								
10150722	44154	434677	306	WIENERSCHNITZEL #306	2205 W CHAPMAN AVE		ORANGE	CA	92868	1	108-020NS		108-020NS		12/29/2020								
10151329	44154	5712593	310	WIENERSCHNITZEL #310	11901 CENTRAL AVE		CHINO	CA	91710	1	108-020NS		108-020NS		12/29/2020								
10150395	44154	380665	311	WIENERSCHNITZEL #311	555 W SHAW AVE		CLOVIS	CA	93612	1	108-020NS		108-020NS		12/29/2020								
10150927	44154	2667403	312	WIENERSCHNITZEL #312	1508 E LOS ANGELES AVE		SIMI VALLEY	CA	93065	1	108-020NS		108-020NS		12/29/2020								
